-0.76 0.064
-1.24 0.082
-1.16 0.765
-1.35 0.294
-0.60 0.084
-1.80 0.233
-1.46 0.060
-1.30 0.157
-1.22 0.368
-1.57 0.311
-1.85 0.495
-2.12 0.462
-1.30 0.023
-1.15 0.085
-0.80 0.301
-1.66 0.025
-1.58 0.268
-1.48 0.364
-1.83 0.164
-2.09 0.214
-1.67 0.424
-2.06 0.235
-1.80 0.280
-1.99 0.154
-2.29 0.250
-1.62 0.081
-1.57 0.115
-1.67 0.044
-2.00 0.040
-2.22 0.214
-1.88 0.528
-1.86 0.607
-1.60 0.280
-1.85 0.086
-1.41 0.025
-1.80 0.340
-1.27 0.154
-0.37 0.002
-1.38 0.053
-1.58 0.354
-1.52 0.299
-1.75 0.185
-1.20 0.379
-1.82 0.528
-1.75 0.146
-1.68 0.020
-0.73 0.348
-1.04 0.379
-1.54 0.613
-1.43 0.141
-1.48 0.127
-1.40 0.253
-1.52 0.080
-0.70 0.134
-1.90 0.250
-1.29 0.070
-1.68 0.058
-1.32 0.609
-2.05 0.507
-1.92 0.168
-0.59 0.310
-0.55 0.259
-2.28 0.213
-1.17 0.084
-1.75 0.108
-0.65 0.363
-0.50 0.070
-1.50 0.139
-0.70 0.034
-0.40 0.085
-0.82 0.474
-1.55 0.123
-0.95 0.212
0.22 0.007
-0.50 0.557
-1.30 0.233
-0.50 0.064
-0.60 0.502
-1.39 0.388
-0.98 0.140
-1.95 0.075
-1.09 0.280
-2.26 0.196
-2.00 0.251
0.00 0.017
-0.34 0.625
-0.53 0.020
-0.50 0.303
-1.53 0.226
-0.50 0.118
-0.64 0.040
-2.00 0.385
-0.50 0.177
-1.37 0.260
-1.44 0.148
-1.80 0.150
-0.04 0.251
-0.66 0.065
-1.20 0.186
-1.56 0.241
-1.83 0.553
-0.21 0.300
-1.44 0.244
-0.73 0.090
-0.50 0.077
-0.86 0.116
-1.49 0.418
-0.44 0.317
-1.45 0.544
-0.99 0.393
-0.70 0.716
-1.35 0.262
-0.96 0.321
-1.64 0.167
-0.48 0.296
-1.51 0.294
-1.01 0.207
-1.58 0.157
-1.29 0.109
-1.12 0.253
-1.60 0.095
-1.56 0.117
-0.52 0.008
-1.94 0.770
-0.58 0.048
-0.10 0.244
-1.76 0.309
-1.81 0.237
-2.00 0.201
-0.39 0.051
-0.73 0.470
-1.16 0.107
-1.54 0.207
-1.40 0.234
-1.63 0.089
-2.26 0.146
-1.62 0.404
-2.12 0.153
-0.94 0.323
-1.74 0.086
-1.51 0.094
