11.865 0.2 7.005 0.125
10.959 0.2 6.367 0.119
11.027 0.2 6.022 0.167
10.792 0.2 6.266 0.119
10.549 0.2 5.376 0.441
10.630 0.2 5.666 0.271
11.170 0.2 6.457 0.099
10.779 0.2 5.991 0.167
10.632 0.2 5.888 0.051
10.964 0.2 6.083 0.105
10.866 0.2 4.800 0.835
12.288 0.2 7.567 0.068
11.074 0.2 5.589 0.307
10.929 0.2 6.256 0.138
11.138 0.2 6.339 0.115
11.065 0.2 6.114 0.180
10.919 0.2 5.911 0.197
10.818 0.2 6.478 0.091
11.330 0.2 6.093 0.170
11.533 0.2 7.077 0.051
11.816 0.2 6.981 0.073
11.247 0.2 6.923 0.058
11.659 0.2 6.498 0.135
11.683 0.2 7.038 0.097
11.166 0.2 6.729 0.075
11.698 0.2 6.911 0.065
10.711 0.2 6.194 0.148
11.182 0.2 6.677 0.074
10.467 0.2 6.120 0.181
10.985 0.2 6.789 0.065
10.614 0.2 5.988 0.079
10.868 0.2 6.223 0.158
11.885 0.2 7.387 0.094
11.734 0.2 6.687 0.090
10.910 0.2 6.741 0.069
11.958 0.2 7.555 0.056
12.352 0.2 8.142 0.062
10.901 0.2 5.838 0.226
11.198 0.2 6.863 0.062
10.725 0.2 6.314 0.129
12.483 0.2 8.045 0.039
11.078 0.2 6.479 0.099
11.658 0.2 7.318 0.062
11.192 0.2 6.728 0.073
12.250 0.2 8.033 0.049
11.611 0.2 7.231 0.043
11.680 0.2 7.111 0.078
11.063 0.2 6.458 0.153
12.029 0.2 7.051 0.062
11.578 0.2 6.404 0.127
11.184 0.2 6.342 0.119
11.769 0.2 7.288 0.053
11.899 0.2 7.224 0.117
11.764 0.2 7.047 0.057
11.599 0.2 6.942 0.064
11.091 0.2 5.968 0.186
12.372 0.2 7.840 0.091
12.519 0.2 7.937 0.075
11.229 0.2 6.667 0.078
11.633 0.2 6.678 0.111
11.793 0.2 7.138 0.089
10.965 0.2 6.244 0.145
12.080 0.2 7.562 0.116
11.840 0.2 7.090 0.156
14.044 0.2 9.404 0.047
13.516 0.2 9.141 0.107
11.964 0.2 7.010 0.075
12.600 0.2 7.995 0.051
13.136 0.2 8.969 0.115
12.575 0.2 7.921 0.057
11.466 0.2 5.704 0.574
11.163 0.2 6.324 0.115
11.309 0.2 6.510 0.094
10.836 0.2 6.017 0.218
11.875 0.2 7.829 0.029
11.641 0.2 7.635 0.134
10.902 0.2 5.371 0.464
11.347 0.2 6.768 0.069
13.199 0.2 8.339 0.038
12.202 0.2 7.609 0.081
11.822 0.2 7.295 0.082
12.777 0.2 9.028 0.012
11.980 0.2 7.123 0.056
12.217 0.2 7.439 0.067
11.917 0.2 7.025 0.083
13.345 0.2 8.649 0.028
12.661 0.2 8.265 0.061
13.552 0.2 8.945 0.044
12.412 0.2 8.497 0.033
12.152 0.2 7.699 0.035
13.008 0.2 8.002 0.114
12.055 0.2 7.594 0.059
12.245 0.2 7.759 0.047
11.283 0.2 6.873 0.125
12.418 0.2 7.685 0.077
12.189 0.2 7.390 0.097
11.989 0.2 7.477 0.039
13.525 0.2 8.577 0.080
13.470 0.2 8.954 0.030
12.691 0.2 8.342 0.073
12.235 0.2 7.917 0.031
12.361 0.2 7.586 0.036
13.388 0.2 8.540 0.066
11.777 0.2 6.867 0.091
12.512 0.2 7.756 0.049
12.378 0.2 7.917 0.100
13.029 0.2 8.309 0.073
11.792 0.2 6.911 0.107
13.716 0.2 9.115 0.051
12.554 0.2 8.501 0.090
13.376 0.2 8.886 0.113
13.603 0.2 9.017 0.073
12.511 0.2 8.153 0.028
12.568 0.2 8.120 0.059
12.410 0.2 7.680 0.052
13.577 0.2 8.703 0.118
13.238 0.2 8.644 0.055
12.505 0.2 7.935 0.029
13.130 0.2 7.923 0.125
12.670 0.2 8.300 0.159
12.543 0.2 8.115 0.045
12.533 0.2 7.968 0.046
12.276 0.2 7.356 0.045
12.914 0.2 7.814 0.043
13.407 0.2 8.594 0.032
11.951 0.2 7.542 0.033
12.085 0.2 7.538 0.039
12.153 0.2 7.861 0.022
13.445 0.2 9.213 0.033
12.171 0.2 7.677 0.042
12.850 0.2 8.041 0.092
13.474 0.2 8.979 0.121
13.997 0.2 9.110 0.034
11.680 0.2 7.047 0.067
12.681 0.2 9.173 0.011
12.658 0.2 9.185 0.025
14.218 0.2 9.063 0.071
13.521 0.2 8.959 0.056
14.483 0.2 9.996 0.013
12.936 0.2 9.100 0.014
13.462 0.2 9.248 0.048
13.984 0.2 9.409 0.109
13.750 0.2 9.649 0.026
13.270 0.2 9.667 0.050
14.561 0.2 10.267 0.022
13.218 0.2 9.007 0.109
13.747 0.2 8.976 0.044
13.446 0.2 9.150 0.099
14.595 0.2 9.723 0.038
14.484 0.2 9.818 0.010
